Woche;TS;TK;OG;FD;FF
20.11.17;896198;95423;348665;651739;96050
27.11.17;935975;94460;357612;683289;95748
04.12.17;990472;92867;346224;697195;95549
11.12.17;1053216;110390;356298;729636;98150
18.12.17;1311335;141380;427621;853387;98828
25.12.17;637236;73288;294473;565063;66324
01.01.18;606202;79792;287134;522145;70197
08.01.18;702489;87702;409487;634299;90767
15.01.18;804844;103532;374826;679303;95227
22.01.18;816966;108315;371131;648505;92343
29.01.18;804662;102466;381371;676508;90858
05.02.18;862904;110270;367408;670979;87663
12.02.18;815363;109987;366188;636558;92215
19.02.18;834140;109632;378853;638615;81259
26.02.18;844698;108539;418426;680144;105789
05.03.18;847923;118319;386242;668295;101757
12.03.18;845615;112684;390281;682546;93910
19.03.18;1100771;146621;404345;722576;104625
26.03.18;774514;98158;359455;701439;81992
02.04.18;761488;97502;434433;565715;109727
09.04.18;763331;96280;425049;662025;115916
16.04.18;906829;114250;429566;679791;111207
23.04.18;1102871;150202;436163;743059;120789
30.04.18;886473;119995;370479;652927;109204
07.05.18;754880;106099;407526;741717;117867
14.05.18;1099057;146472;315030;746411;88390
21.05.18;847345;108704;441446;622755;123541
28.05.18;694383;97523;386099;651225;109274
04.06.18;938947;128412;400201;698912;105451
11.06.18;891880;130406;383856;502126;272502
18.06.18;948945;128286;389226;674299;103228
25.06.18;885153;118591;384786;675607;103443
02.07.18;950316;139137;407120;691816;103562
09.07.18;882276;127187;380627;665278;101494
16.07.18;961801;129410;384309;697993;96212
23.07.18;976465;129759;395642;692538;95739
30.07.18;950968;147371;396843;723894;101316
06.08.18;1003635;165478;390127;707744;90241
13.08.18;902962;145492;357103;674881;95311
20.08.18;944729;130240;354757;686298;93491
27.08.18;869537;124704;352461;657614;82498
03.09.18;911046;120130;364879;707735;97376
10.09.18;915234;108909;376991;719382;98591
17.09.18;963818;108797;356614;694382;91760
24.09.18;1111665;126272;366982;747471;100471
01.10.18;757551;88645;353815;659777;96722
08.10.18;922650;115157;360994;711809;95650
15.10.18;934167;111490;359800;720235;90731
22.10.18;1080674;120724;355452;712151;95486
29.10.18;735008;86252;344461;682176;94402
05.11.18;959702;112778;352641;710256;92932
12.11.18;978360;105863;364511;723788;94118
19.11.18;957747;97191;303242;757108;98209
26.11.18;978382;97385;370381;708585;97877
03.12.18;1005845;111145;371479;700438;100326
10.12.18;1061840;122851;363185;758448;101282
17.12.18;1341276;149724;475234;990929;133567
24.12.18;589384;70745;119559;394343;48393
31.12.18;529881;62748;355163;524024;113259
07.01.19;855060;97915;417750;772522;94416
14.01.19;871091;108944;402206;741326;92926
21.01.19;931413;106176;479367;697390;96695
28.01.19;838882;106957;410339;698450;89929
04.02.19;915129;115315;420739;701649;90196
11.02.19;910801;108298;412874;721582;92333
18.02.19;894994;98711;404102;707060;91474
25.02.19;848857;106496;400210;709561;92012
04.03.19;896973;115626;397623;718376;88674
11.03.19;875954;111356;441103;704369;90846
18.03.19;926820;110796;417488;702641;92401
25.03.19;914231;104240;428539;714117;97896
01.04.19;982755;120546;435290;705683;146551
08.04.19;1146873;148149;528716;801730;101257
15.04.19;831218;111878;484094;804606;91993
22.04.19;882410;105506;569258;651973;143981
29.04.19;817923;94756;434744;672672;90891
06.05.19;890192;107037;414480;619310;87957
13.05.19;900121;108114;400235;696511;91617
20.05.19;1031361;119642;407609;702463;101516
27.05.19;829385;95739;405914;767060;116186
03.06.19;1064449;150282;356920;772622;93038
10.06.19;834329;108736;424624;601441;106485
17.06.19;727480;97127;409557;671458;100956
24.06.19;980310;142194;486647;754380;98508
01.07.19;1031695;166852;534131;769450;97566
08.07.19;921162;137470;409804;723549;91649
15.07.19;937170;125036;419038;728885;101014
22.07.19;975974;136905;447242;711554;88038
29.07.19;957921;139504;401288;693387;96930
05.08.19;904966;125116;385414;677260;93388
12.08.19;854689;112757;384353;660394;92668
19.08.19;867900;107456;380739;686479;92090
26.08.19;912052;105754;391055;700938;92031
02.09.19;884240;110434;383220;682952;87934
09.09.19;865335;105033;372275;686256;89732
16.09.19;924016;106561;362971;664598;86027
23.09.19;1022789;112356;365459;617278;159182
30.09.19;715721;80806;371354;708223;87241
07.10.19;846790;105426;369987;682458;87974
14.10.19;909030;104324;473507;656584;84848
21.10.19;1017619;116072;351757;676530;94654
28.10.19;726460;81685;348702;662625;82845
04.11.19;937880;103220;380150;723770;91042
11.11.19;924923;97224;375809;702644;88764
18.11.19;904320;100947;360981;696409;88509
25.11.19;944849;102526;371571;704454;86713
02.12.19;982418;101141;379456;693565;93920
09.12.19;1011228;120632;287749;579683;72587
16.12.19;1274565;154106;372396;570759;108281
23.12.19;659604;75465;328045;548663;65272
